Cell Type	TF/DNase/HistoneMark	Treatment	DeepSEA ROC AUC	DanQ ROC AUC	DanQ-JASPAR ROC AUC	DeepSEA PR AUC	DanQ PR AUC	DanQ-JASPAR PR AUC
HeLa-S3	ELK4	None	0.962083008	0.9674286083	0.9695528218	0.3619190558	0.3972915702	0.3928203531
HeLa-S3	GTF2F1	None	0.931200033	0.9375029287	0.9387117497	0.2413487483	0.2689824211	0.2778446738
HeLa-S3	HA-E2F1	None	0.991011533	0.9916110075	0.99149024	0.4120700807	0.4408273312	0.4349266868
HeLa-S3	Ini1	None	0.958058206	0.9625434899	0.9632401843	0.1784875906	0.187617239	0.1969136863
HeLa-S3	IRF3	None	0.986984377	0.983817243	0.9869970768	0.4166262817	0.4673161223	0.4976733192
HeLa-S3	JunD	None	0.949783336	0.9560160487	0.958135165	0.362784171	0.3801997563	0.3899905513
HeLa-S3	MafK	None	0.951266053	0.9526659241	0.959055364	0.2592272543	0.2798526369	0.3010974693
HeLa-S3	Max	None	0.92969034	0.9370059885	0.9390643021	0.3546265004	0.3820506926	0.3852923451
HeLa-S3	MAZ	None	0.966530426	0.9695434968	0.9703262557	0.3944165364	0.4315522067	0.4341364676
HeLa-S3	Mxi1	None	0.948104524	0.9533207297	0.9527708544	0.309183947	0.323208362	0.3298965037
HeLa-S3	NF-YA	None	0.968547009	0.9766898594	0.9736352702	0.3366022903	0.3960821361	0.3949417919
HeLa-S3	NF-YB	None	0.948726249	0.9580801086	0.9568413776	0.2714319967	0.3304008651	0.3282461398
HeLa-S3	Nrf1	None	0.973955704	0.981810786	0.9806218411	0.3810707518	0.4551814844	0.4251546696
HeLa-S3	p300	None	0.923274474	0.9302815085	0.9348039858	0.2616118609	0.2723041643	0.2862550101
HeLa-S3	Pol2(phosphoS2)	None	0.909935156	0.9155228438	0.9135328863	0.325006685	0.3394661258	0.3417708888
HeLa-S3	Pol2	None	0.956122846	0.9590446908	0.959385817	0.5721778278	0.5850735079	0.5850981598
HeLa-S3	PRDM1	None	0.897594092	0.9083897188	0.913207362	0.0424886299	0.045772289	0.0504819558
HeLa-S3	Rad21	None	0.961280216	0.9687175471	0.9707852674	0.5203020501	0.5594103565	0.5683609622
HeLa-S3	RFX5	None	0.921993905	0.9320719804	0.9341306033	0.2559404092	0.2852672282	0.2904865125
HeLa-S3	RPC155	None	0.919073389	0.9313112855	0.9294428216	0.0588460459	0.0950581068	0.0818821504
HeLa-S3	SMC3	None	0.961740521	0.9669931679	0.9676377844	0.4864425364	0.5227354475	0.5303914104
HeLa-S3	SPT20	None	0.78394455	0.8192629955	0.8127455621	0.0045635432	0.0063629451	0.0061069594
HeLa-S3	STAT1	IFNg30	0.877472064	0.9093234244	0.9082345261	0.1621918041	0.2229388261	0.2264478323
HeLa-S3	STAT3	None	0.933638563	0.9413763581	0.9465774773	0.2136359571	0.2294738713	0.2529158304
HeLa-S3	TBP	None	0.912152882	0.9182497412	0.9177700983	0.2625939294	0.2774108834	0.2810150516
HeLa-S3	TCF7L2	None	0.867147037	0.883335318	0.8917520706	0.1833404396	0.2046307928	0.2157033965
HeLa-S3	TCF7L2	None	0.869614462	0.8870918371	0.901551719	0.045142588	0.0584390038	0.0661823286
HeLa-S3	TFIIIC-110	None	0.935291396	0.9476630186	0.9446612627	0.0729402765	0.1080520618	0.0818851604
HeLa-S3	TR4	None	0.890227568	0.9092524968	0.9025962101	0.0521923309	0.0688820667	0.0593948777
HeLa-S3	USF2	None	0.954394551	0.9582009681	0.9607987869	0.2730430987	0.3010503702	0.2984258478
HeLa-S3	ZKSCAN1	None	0.907010836	0.9167770384	0.9129832835	0.0991556084	0.1050017082	0.1096700619
HeLa-S3	Znf143	None	0.960100483	0.9700917501	0.9694252119	0.3090620603	0.3768008847	0.3852099035
HeLa-S3	ZNF274	None	0.904008615	0.9488066459	0.9781635972	0.0001826966	8.07E-005	0.000204328
HeLa-S3	ZZZ3	None	0.8552139	0.8719412281	0.8711216823	0.0101903224	0.0192317255	0.0128659213
HepG2	ARID3A	None	0.924680304	0.9325557575	0.9445739383	0.1553355656	0.1954110073	0.2315842094
HepG2	BHLHE40	None	0.950947837	0.9575306497	0.9614360817	0.2236230141	0.2507381381	0.2731908416
HepG2	BRCA1	None	0.98621887	0.9834149093	0.9821357613	0.1195390146	0.176534914	0.2390467951
HepG2	CEBPB	forskolin	0.972425369	0.9762431589	0.9800007912	0.3135871968	0.3492247828	0.3732403215
HepG2	CEBPB	None	0.977058861	0.9786490304	0.9809749382	0.5495075473	0.578317969	0.5878052903
HepG2	CHD2	None	0.970338458	0.9744224356	0.9784246314	0.1695735024	0.1735097977	0.2059582571
HepG2	c-Jun	None	0.971476918	0.978725691	0.9807135168	0.2930106352	0.3534419384	0.3690516234
HepG2	COREST	None	0.954514827	0.9627896881	0.9639717809	0.124740978	0.1428501679	0.1508492291
HepG2	ERRA	forskolin	0.974446616	0.9721820137	0.97969149	0.0444135007	0.0442407683	0.068160706
HepG2	GRp20	forskolin	0.995746624	0.9882704964	0.993490472	0.1770628196	0.1694147823	0.2143978799
HepG2	HNF4A	forskolin	0.96533547	0.9751489054	0.9753982569	0.2164925704	0.2736733855	0.2877306303
HepG2	HSF1	forskolin	0.938378268	0.9546673366	0.9499338908	0.0276789242	0.117965213	0.0977432533
HepG2	IRF3	None	0.96252579	0.9796253831	0.9587462474	0.3505723485	0.3833801114	0.3960797435
HepG2	JunD	None	0.971357556	0.9789559287	0.9794703069	0.4572702957	0.5635122092	0.557782156
HepG2	MafF	None	0.97621061	0.9741433897	0.9786240681	0.5173007103	0.5210778447	0.557013944
HepG2	MafK	None	0.982220392	0.976950271	0.9821081632	0.6808233258	0.674506345	0.7166454229
HepG2	MafK	None	0.978928306	0.9735920633	0.9799804596	0.5427906177	0.5361386285	0.5857222781
HepG2	Max	None	0.97537436	0.9787578082	0.9803796961	0.3376552104	0.3670900728	0.3815914646
HepG2	MAZ	None	0.9755044	0.9781791257	0.9797186692	0.3761549076	0.4058252686	0.4155539509
HepG2	Mxi1	None	0.962458524	0.9677889048	0.9716621836	0.409133848	0.4384522371	0.459995062
HepG2	Nrf1	None	0.993560086	0.9891206806	0.99520519	0.3687796018	0.5115930905	0.460824168
HepG2	p300	None	0.947080433	0.956166629	0.9602072781	0.1131163299	0.142860189	0.1592406137
HepG2	PGC1A	forskolin	0.923869356	0.9326227878	0.9379826192	0.0179598406	0.0405256663	0.0311145453
HepG2	Pol2	forskolin	0.958010755	0.9615836602	0.9621819668	0.4003811875	0.4238001228	0.4293972451
HepG2	Pol2	None	0.940325898	0.9453190288	0.9511087619	0.4018628553	0.4260174661	0.4359467563
HepG2	Pol2(phosphoS2)	None	0.844868067	0.8581569071	0.8627773289	0.0774637746	0.08102546	0.080839601
HepG2	Rad21	None	0.981928132	0.9854983477	0.9869685849	0.5838942442	0.6189287455	0.629192897
HepG2	RFX5	None	0.897626983	0.9127508282	0.9194211039	0.2368650033	0.2450791488	0.2675597859
HepG2	SMC3	None	0.97976786	0.9836429365	0.9854432516	0.5949143371	0.6250749104	0.634544185
HepG2	SREBP1	NA	0.980876577	0.9831756594	0.9866502313	0.1769249135	0.1935396233	0.2305351255
HepG2	TBP	None	0.950510123	0.9557388547	0.9609466688	0.3415372568	0.3581089208	0.3738284719
HepG2	TCF7L2	None	0.899442773	0.9038006303	0.9297832294	0.0452437007	0.0502207626	0.0650570568
HepG2	TR4	None	0.955447688	0.9624911553	0.9640745092	0.1619391492	0.1719670663	0.1838263468
HepG2	USF2	None	0.988657533	0.9890982433	0.9887737187	0.3233984481	0.3635448823	0.3834066078
HepG2	ZNF274	None	0.581511778	0.6670968366	0.7275367351	3.08E-005	4.57E-005	4.47E-005
HUVEC	c-Fos	None	0.943040764	0.9487503928	0.9514795891	0.4358094152	0.4581633877	0.4696052398
HUVEC	c-Jun	None	0.954824284	0.9597116124	0.963484394	0.3315946609	0.3441445349	0.3615544309
HUVEC	GATA2	None	0.903775129	0.9064635804	0.9132200497	0.2605976416	0.2780224339	0.2890174567
HUVEC	Max	None	0.982212477	0.9852562828	0.984702898	0.2980944365	0.3289242773	0.3460876403
HUVEC	Pol2	None	0.919660131	0.9263211135	0.9220596619	0.2874975035	0.2976915518	0.3020382927
IMR90	CEBPB	None	0.957708483	0.9637558238	0.9650904318	0.4919401381	0.5420531576	0.5401249531
IMR90	CTCF	None	0.981451777	0.9842912699	0.9864397146	0.6523086521	0.6798995739	0.688950478
IMR90	MafK	None	0.969615656	0.9657285516	0.9721700967	0.4775199829	0.4808510652	0.5147301608
IMR90	Pol2	None	0.927833154	0.937206881	0.9380889128	0.3818104049	0.4024431401	0.3991847654
IMR90	Rad21	None	0.972486883	0.9766567544	0.9784386487	0.5413565194	0.5734305941	0.5818752134
K562	ARID3A	None	0.934062532	0.9391425527	0.9455237214	0.1087013446	0.1250696444	0.1390694186
K562	ATF1	None	0.963418585	0.9672234155	0.9700869407	0.2570334661	0.2711906	0.2815419744
K562	ATF3	None	0.973900614	0.9828363322	0.9835288124	0.2727262125	0.304604719	0.3115346942
K562	Bach1	None	0.950839028	0.9436074736	0.9594276228	0.1821638931	0.1827378884	0.2241930902
K562	BDP1	None	0.962916158	0.9855939079	0.9856282881	0.02438521	0.1444657232	0.0849190659
K562	BHLHE40	None	0.947173928	0.9536344182	0.9551671176	0.2524667175	0.2781837559	0.2955396696
K562	BRF1	None	NA (No positive in Test region)	NA (No positive in Test region)	NA (No positive in Test region)	NA (No positive in Test region)	NA (No positive in Test region)	NA (No positive in Test region)
K562	BRF2	None	0.74819253	0.7724808411	0.7803056277	0.0009795952	0.0014624101	0.0016285697
K562	Brg1	None	0.918584226	0.9218355805	0.9342219554	0.0479995425	0.0858655159	0.0751181881
K562	CCNT2	None	0.965327055	0.9685694122	0.9708003507	0.4608400929	0.4762241784	0.4806962995
K562	CEBPB	None	0.960665533	0.9666298204	0.9680735257	0.3613216701	0.4150668701	0.412074842
K562	c-Fos	None	0.985619676	0.9885708426	0.9878148693	0.3026929829	0.3863038538	0.3706404057
K562	CHD2	None	0.964351433	0.9724745702	0.9739243327	0.250524291	0.2900019285	0.3201981118
K562	c-Jun	IFNa30	0.964481926	0.9714108495	0.9736695755	0.2360376418	0.2539203201	0.2679488202
K562	c-Jun	IFNa6h	0.973187226	0.9764013741	0.9783773265	0.2101917392	0.2369280038	0.2448974561
K562	c-Jun	IFNg30	0.966103179	0.9688250143	0.9728571751	0.2380527252	0.2524485802	0.2647302574
K562	c-Jun	IFNg6h	0.970025495	0.9731121602	0.976838734	0.2421054547	0.2582823528	0.2793040465
K562	c-Jun	None	0.980988424	0.984443504	0.9853087182	0.2611140981	0.2636396669	0.2751547332
K562	c-Myc	IFNa30	0.966540975	0.9728478807	0.9729499533	0.2519688919	0.2922449667	0.305405802
K562	c-Myc	IFNa6h	0.959245505	0.9650735567	0.9668557068	0.2636892069	0.3016570054	0.3212834487
K562	c-Myc	IFNg30	0.945047181	0.9522589817	0.9548750288	0.3691681549	0.4129032512	0.4171942304
K562	c-Myc	IFNg6h	0.944248372	0.9524571882	0.9546665539	0.307861141	0.341884344	0.3526749785
K562	c-Myc	None	0.940281022	0.9514997452	0.9528958563	0.3350527649	0.372841064	0.3825290469
K562	c-Myc	None	0.97813479	0.9847799238	0.983466606	0.2001988236	0.2393153863	0.2680609717
K562	COREST	None	0.90852965	0.9216249359	0.9278027356	0.0908301481	0.1114428789	0.1240380537
K562	COREST	None	0.910644066	0.919859629	0.9242951647	0.2252629956	0.2588015808	0.2674827525
K562	CTCF	None	0.981151975	0.9842335227	0.9858823887	0.5696212872	0.60917709	0.6219490554
K562	E2F4	None	0.99107002	0.9917196327	0.9919605522	0.4184436898	0.4401530067	0.4370225731
K562	E2F6	None	0.965098778	0.9702246006	0.9700180837	0.3305398437	0.3481893039	0.3539006679
K562	ELK1	None	0.974589357	0.9784537379	0.9753326227	0.4136783169	0.4441093304	0.4177791387
K562	GATA1	None	0.978051988	0.9807040913	0.980481771	0.1682315749	0.2216134416	0.2316192952
K562	GATA2	None	0.961217893	0.9612273609	0.9644461882	0.2126801834	0.2434963081	0.2642987212
K562	GTF2B	None	0.954309796	0.9541906051	0.9548652815	0.1176004091	0.1200848055	0.1353151171
K562	GTF2F1	None	0.96506466	0.9677719231	0.9625312161	0.171097575	0.1635415889	0.170076579
K562	HMGN3	None	0.976333515	0.9782441732	0.979397291	0.4622290315	0.4760330677	0.4756086476
K562	Ini1	None	0.901901388	0.9071662568	0.9204009093	0.0336110878	0.0385238151	0.0357654519
K562	IRF1	IFNa30	0.951022563	0.9514747967	0.9575021675	0.0386066173	0.1142969593	0.0977089268
K562	IRF1	IFNa6h	0.958966786	0.9701867516	0.9677568217	0.1847280829	0.2503923405	0.2547991781
K562	IRF1	IFNg30	0.948844348	0.9586937083	0.9591777311	0.2302324275	0.2747917465	0.277756562
K562	IRF1	IFNg6h	0.980912905	0.9852577293	0.9849634923	0.5501279067	0.5709988117	0.5779082967
K562	JunD	None	0.947257027	0.9536185696	0.9552887628	0.3435554085	0.3660137276	0.3807936015
K562	KAP1	None	0.925209972	0.9400334827	0.9491108825	0.157878409	0.201032915	0.2088290385
K562	MafF	None	0.963101561	0.9554674341	0.9684742861	0.3689656423	0.3667760256	0.4044569455
K562	MafK	None	0.965006155	0.9592753598	0.9704801062	0.3444216999	0.3599519393	0.3899762238
K562	Max	None	0.94846597	0.9557053353	0.9573863871	0.360380742	0.390771066	0.3972594861
K562	MAZ	None	0.960352133	0.9661639201	0.967374813	0.4505824153	0.486423036	0.4840890014
K562	Mxi1	None	0.967138875	0.9727030543	0.9719194586	0.1992709656	0.2401873071	0.2367753984
K562	NELFe	None	0.964381961	0.9732969122	0.9566703976	0.0415701794	0.0861384577	0.0735934488
K562	NF-E2	None	0.977988324	0.9742489751	0.9877401353	0.1569331325	0.1501391405	0.1790071177
K562	NF-YA	None	0.987424696	0.9922700527	0.990801199	0.354487204	0.4179446045	0.4326182044
K562	NF-YB	None	0.98470109	0.9884350516	0.9870534658	0.5119024821	0.576932268	0.5716654409
K562	Nrf1	None	0.983965801	0.9862416379	0.9823769791	0.3438405823	0.4230226749	0.3984643887
K562	p300	None	0.923888769	0.9316272593	0.9392382482	0.2285923842	0.2470760059	0.2788665303
K562	Pol2	IFNa30	0.963741275	0.9676227508	0.9660172289	0.442209667	0.4806516352	0.4784136624
K562	Pol2	IFNa6h	0.96184002	0.9662335091	0.9660957085	0.4435149581	0.4758224123	0.4677408262
K562	Pol2	IFNg30	0.958878363	0.965031109	0.9641262052	0.4349475879	0.4741292248	0.473573784
K562	Pol2	IFNg6h	0.960834777	0.9647754736	0.9641944955	0.4928738799	0.5347168988	0.5293268756
K562	Pol2	None	0.917259479	0.924504988	0.9277509149	0.1272429014	0.1462572541	0.1540752166
K562	Pol2(phosphoS2)	None	0.886828058	0.8927657449	0.8910725691	0.0834586811	0.0899313936	0.0916620738
K562	Pol2(phosphoS2)	None	0.797058054	0.8120251956	0.8086756199	0.0082317638	0.0131570372	0.015171423
K562	Pol2	None	0.960974957	0.9652734728	0.9650338462	0.4816115689	0.5152471067	0.5059679825
K562	Pol3	None	0.890884397	0.9403193692	0.9625380751	2.01E-005	3.68E-005	5.87E-005
K562	Rad21	None	0.993792069	0.9946906954	0.9951200454	0.5798398162	0.6071512411	0.621012042
K562	RFX5	None	0.859807842	0.8913547148	0.8738947526	0.0469636853	0.0703747609	0.0700842696
K562	RPC155	None	0.927892057	0.9389298964	0.9376706098	0.0439444726	0.1063860965	0.0848134052
K562	SETDB1	MNaseD	0.906713255	0.9291423427	0.9271812763	0.0795104171	0.1082978351	0.1212712882
K562	SETDB1	None	0.947483511	0.9563614794	0.958453705	0.0834718243	0.1208767547	0.1218054134
K562	SIRT6	None	0.961653335	0.9682838091	0.971255932	0.0714029533	0.1049010697	0.1142701763
K562	SMC3	None	0.988945081	0.9908611659	0.9915263101	0.6372524144	0.6694034166	0.6752234197
K562	STAT1	IFNa30	0.95395197	0.9689457661	0.9737647372	0.0531801834	0.1284980816	0.1039309194
K562	STAT1	IFNa6h	0.947853716	0.9570563248	0.9617451139	0.0324300423	0.0968913262	0.0697141601
K562	STAT1	IFNg30	0.943786192	0.9615689588	0.9674549482	0.1132095327	0.1842403477	0.1784704542
K562	STAT1	IFNg6h	0.938983932	0.9654779307	0.9646320419	0.0731234411	0.1176625463	0.1005487853
K562	STAT2	IFNa30	0.963029732	0.9727057901	0.9731185763	0.0622482816	0.1191596187	0.1128838625
K562	STAT2	IFNa6h	0.945908447	0.9597572445	0.9623083047	0.0425176946	0.1311167129	0.0800372016
K562	TAL1	None	0.95609869	0.9577860829	0.9652070231	0.3195901798	0.3451966146	0.3973983428
K562	TBLR1	None	0.938348496	0.9433329617	0.9444787571	0.0863531312	0.1325628509	0.1267848296
K562	TBLR1	None	0.957451023	0.9601557343	0.9644588629	0.1816055513	0.205592704	0.2120731592
K562	TBP	None	0.944047109	0.950474196	0.9513945047	0.3473851595	0.3731390894	0.3722378023
K562	TFIIIC-110	None	0.896968084	0.9116102186	0.9060624384	0.0438442985	0.0806191684	0.0661074666
K562	TR4	None	0.93742265	0.9083330904	0.9230971339	0.0235446551	0.0554128128	0.0330123186
K562	UBF	None	0.978336658	0.9817429685	0.9807419504	0.1982602625	0.221139982	0.2164342306
K562	UBTF	None	0.963889909	0.9656844182	0.9648731504	0.2804650586	0.2861085577	0.2847365445
K562	USF2	None	0.980823973	0.9861606442	0.9832642084	0.3883038401	0.4130545066	0.4169099124
K562	YY1	None	0.989605582	0.9905754486	0.9900878273	0.4080076526	0.4191616678	0.4173644024
K562	Znf143	None	0.947255308	0.9564911159	0.9599244267	0.5250592272	0.5776746894	0.5778401377
K562	ZNF263	None	0.958072088	0.9618142162	0.9619672154	0.1362665987	0.1434349157	0.1453186384
K562	ZNF274	None	0.907017758	0.9113510333	0.9211295225	0.241459744	0.3359252143	0.3216119092
K562	ZNF274	None	0.955764053	0.9522797291	0.9511921323	0.335516309	0.4317187828	0.3626646715
MCF10A-Er-Src	c-Fos	EtOH_0.01pct	0.963784786	0.9684605521	0.9701119804	0.508411464	0.5266147879	0.5346144893
MCF10A-Er-Src	c-Fos	4OHTAM_1uM_12hr	0.959944882	0.9648792331	0.9657713751	0.5488466043	0.5691102469	0.5757134619
MCF10A-Er-Src	c-Fos	4OHTAM_1uM_4hr	0.958512878	0.9644488446	0.9656945242	0.5166305733	0.5406689543	0.5467986113
MCF10A-Er-Src	c-Fos	4OHTAM_1uM_36hr	0.966971328	0.9706667032	0.9711136569	0.5528743707	0.5660738709	0.5719023362
MCF10A-Er-Src	c-Myc	EtOH_0.01pct	0.935641807	0.9460528179	0.9488038105	0.3152832893	0.3507919313	0.3561323378
MCF10A-Er-Src	c-Myc	4OHTAM_1uM_4hr	0.943119387	0.9529758204	0.9544410135	0.3018918606	0.325546451	0.3423066275
MCF10A-Er-Src	E2F4	4OHTAM_1uM_36hr	0.951546023	0.9578803519	0.9575323622	0.348864744	0.3611082299	0.3662970698
MCF10A-Er-Src	Pol2	EtOH_0.01pct	0.919756971	0.9278421751	0.9268899342	0.4771043033	0.4925724591	0.4926149051
MCF10A-Er-Src	Pol2	4OHTAM_1uM_36hr	0.935138106	0.940105597	0.9396333753	0.5072873685	0.5294196952	0.5291784537
MCF10A-Er-Src	STAT3	EtOH_0.01pct_4hr	0.938500045	0.9500152278	0.9532146667	0.3591432162	0.3963202814	0.4100645621
MCF10A-Er-Src	STAT3	EtOH_0.01pct_12hr	0.938311222	0.9481845757	0.9518791759	0.3579766226	0.3880214669	0.4070306011
MCF10A-Er-Src	STAT3	EtOH_0.01pct	0.948802012	0.9605165946	0.9642676054	0.2245163806	0.2556532506	0.2767378665
MCF10A-Er-Src	STAT3	4OHTAM_1uM_12hr	0.940365076	0.9494282427	0.9530013091	0.344302482	0.375027323	0.3924705518
MCF10A-Er-Src	STAT3	4OHTAM_1uM_36hr	0.935409158	0.9462393329	0.9494939886	0.3813530035	0.4260344184	0.4426638478
MCF-7	GATA3	None	0.882689026	0.8808270538	0.893885959	0.1337826388	0.1439164507	0.1607058761
MCF-7	GATA3	None	0.884446632	0.8884568815	0.9025032036	0.0738016682	0.0731175998	0.0964362635
MCF-7	HA-E2F1	None	0.948594117	0.9566382961	0.9587931759	0.4420111846	0.4640117028	0.461920568
MCF-7	TCF7L2	None	0.854328689	0.8751404052	0.8836378287	0.0935339081	0.1234305964	0.1345874645
MCF-7	ZNF217	None	0.845105762	0.8879042483	0.8977062406	0.1105046273	0.167044987	0.1885858243
NB4	c-Myc	None	0.951126091	0.9592759671	0.960172935	0.3152592223	0.3646180691	0.3684373926
NB4	Max	None	0.949470627	0.9585663422	0.9584721242	0.3449586106	0.3955546107	0.393987281
NB4	Pol2	None	0.97445289	0.9758462393	0.9752251607	0.505064049	0.5361264984	0.5323969252
NT2-D1	SUZ12	None	0.96806588	0.972292737	0.9725613594	0.2079327202	0.2427749575	0.2422762388
NT2-D1	YY1	None	0.978374342	0.9830058849	0.9830834964	0.3141474818	0.3636984595	0.344061629
NT2-D1	ZNF274	None	0.91620714	0.9249288171	0.9204906683	0.3035398083	0.3448341944	0.2966121865
PANC-1	TCF7L2	None	0.848677092	0.8597834968	0.8779486188	0.082182932	0.0946832937	0.1018101092
PBDEFetal	GATA1	None	0.977962325	0.9793327679	0.9800145775	0.1531850467	0.1885067031	0.2365583007
PBDE	GATA1	None	0.915923306	0.9275206094	0.9304194504	0.2614663212	0.3048258671	0.3268971943
PBDE	Pol2	None	0.952697224	0.9577033236	0.9562359448	0.5011057766	0.5299800163	0.5310562774
Raji	Pol2	None	0.951517191	0.950649667	0.9533847209	0.5563462454	0.5758574674	0.5774872492
SH-SY5Y	GATA2	None	0.917607875	0.9139864831	0.921388512	0.3070148238	0.3088512512	0.3294331456
SH-SY5Y	GATA3	None	0.922760288	0.9237149565	0.9318836841	0.2065588378	0.2194866895	0.2467320274
U2OS	KAP1	None	0.847567839	0.871573801	0.8790980947	0.1209258809	0.1452818469	0.1476926416
U2OS	SETDB1	None	0.891739628	0.9055654324	0.910909404	0.3539622489	0.4152090289	0.4331705866
K562	eGFP-FOS	None	0.980419497	0.9820375392	0.9825655142	0.318198062	0.3383593479	0.3396571851
K562	eGFP-GATA2	None	0.933816856	0.9377676027	0.9437693542	0.1874983638	0.2026203621	0.2275357713
K562	eGFP-HDAC8	None	0.885867671	0.8963648833	0.9015019529	0.0204912692	0.0244857493	0.0313144337
K562	eGFP-JunB	None	0.959344023	0.9629214265	0.9645038013	0.2308506361	0.2645308548	0.2651005374
K562	eGFP-JunD	None	0.919036699	0.9278493559	0.9317507533	0.2650104548	0.2934146821	0.3018865974
A549	CTCF	None	0.97943824	0.9852409592	0.9864813315	0.634364492	0.6822922475	0.6886501668
A549	Pol2	None	0.983537983	0.9845859072	0.9848060617	0.4758166407	0.5014422642	0.5061631991
Fibrobl	CTCF	None	0.981667872	0.9859475549	0.9865289498	0.5879522506	0.6286493432	0.6373643567
Gliobla	CTCF	None	0.979205239	0.983514676	0.9847879735	0.6533898409	0.682350819	0.6927915837
Gliobla	Pol2	None	0.982239475	0.9831471308	0.9833126761	0.4484269974	0.479842232	0.4839272764
GM12878	c-Myc	None	0.981507603	0.982223037	0.983075606	0.2549075212	0.3050488911	0.3267080517
GM12878	CTCF	None	0.98547325	0.9888679029	0.989356631	0.6122115296	0.6454336376	0.6507174182
GM12878	Pol2	None	0.942645883	0.9457589203	0.94398137	0.4203826654	0.4438860807	0.4428656132
GM12891	CTCF	None	0.98203375	0.986917685	0.9869800275	0.5649951703	0.619215016	0.6260689435
GM12892	CTCF	None	0.976850556	0.9838173802	0.9840161027	0.5557373624	0.6069473908	0.6099822526
GM19238	CTCF	None	0.977065791	0.983717163	0.9843497075	0.5913270913	0.6448719879	0.6517945125
GM19239	CTCF	None	0.981206568	0.9854088462	0.9863621522	0.5228896013	0.5787069864	0.5869761929
GM19240	CTCF	None	0.982284463	0.9873484077	0.987426194	0.613320057	0.6616209455	0.6630247534
H1-hESC	c-Myc	None	0.912264644	0.9194903178	0.9179522295	0.0250503538	0.022574465	0.020449743
H1-hESC	CTCF	None	0.986843822	0.9908473757	0.9916254659	0.5461145512	0.6243978119	0.6397933306
H1-hESC	Pol2	None	0.955230213	0.9604060543	0.9612253606	0.4525427631	0.4678089721	0.4716766638
HeLa-S3	c-Myc	None	0.953793902	0.9616376105	0.9625193135	0.0947385611	0.1198202865	0.1258692011
HeLa-S3	CTCF	None	0.983390667	0.9871115413	0.9882833911	0.587809246	0.6287037459	0.6362723607
HeLa-S3	Pol2	None	0.949030559	0.9527597484	0.9511432642	0.4991348169	0.5326713636	0.5311097962
HepG2	c-Myc	None	0.985493686	0.9876188275	0.9875461328	0.1468443771	0.2003418136	0.2371182068
HepG2	CTCF	None	0.993867968	0.9955324582	0.995720875	0.7347990283	0.764153341	0.771240209
HepG2	Pol2	None	0.935757735	0.9421611486	0.9431608	0.3928996726	0.4074481721	0.4131826108
HUVEC	c-Myc	None	0.97741601	0.9812138786	0.9801907348	0.1704759298	0.1971586933	0.2121033697
HUVEC	CTCF	None	0.985417704	0.9881278773	0.9890396384	0.5559284224	0.588793724	0.6004387517
HUVEC	Pol2	None	0.977861799	0.9788580936	0.9783578767	0.4552188304	0.5010767595	0.5065756864
K562	c-Myc	None	0.978468129	0.9818984289	0.981977419	0.2043344272	0.2465485727	0.25864734
K562	CTCF	None	0.985276433	0.9883184645	0.9895367714	0.593767632	0.6289346951	0.6358901528
K562	Pol2	None	0.948191162	0.9546250396	0.9536266877	0.4314425316	0.4643546708	0.4559514313
MCF-7	c-Myc	estrogen	0.95436269	0.9627683266	0.9655566448	0.2040085188	0.2385317868	0.2594906586
MCF-7	c-Myc	serum_stimulated_media	0.969123341	0.9722531766	0.9734801499	0.3539128017	0.3768946309	0.3920640089
MCF-7	c-Myc	serum_starved_media	0.964784201	0.9678507409	0.9676389063	0.1435316952	0.1779885319	0.1766228014
MCF-7	c-Myc	vehicle	0.949546075	0.9595068193	0.9609970159	0.3586178619	0.3953353822	0.4082976544
MCF-7	CTCF	estrogen	0.980948526	0.9846674935	0.9859609727	0.5852836465	0.6521294775	0.6604820439
MCF-7	CTCF	serum_stimulated_media	0.980036951	0.9835620545	0.9844487351	0.6039451503	0.6442456539	0.648550554
MCF-7	CTCF	serum_starved_media	0.978199867	0.9826405646	0.9833364484	0.582998545	0.6232193025	0.6300535026
MCF-7	CTCF	None	0.979445883	0.984418652	0.9851506937	0.5992568532	0.6440205591	0.652074639
MCF-7	CTCF	vehicle	0.975924418	0.9811237603	0.9826726276	0.6429636728	0.6833826518	0.6894038223
MCF-7	Pol2	serum_stimulated_media	0.97466673	0.9760946349	0.9763034458	0.5537711966	0.5817102039	0.5851307814
MCF-7	Pol2	serum_starved_media	0.97222939	0.9743369827	0.9741474115	0.4714502389	0.5028120103	0.5022073008
MCF-7	Pol2	None	0.929799688	0.9350954604	0.9357745583	0.3923924946	0.4148724665	0.4102451952
NHEK	CTCF	None	0.980631381	0.986267542	0.9869974926	0.6232304816	0.6680686323	0.6734871582
ProgFib	CTCF	None	0.983642828	0.9877449728	0.9884029893	0.5624671566	0.615093159	0.6193981952
ProgFib	Pol2	None	0.951535351	0.9539642157	0.9532977309	0.4243827051	0.4517958387	0.4513854255
A549	CTCF	None	0.979687352	0.9835144853	0.9855156747	0.6436818089	0.6889449559	0.7047235443
AG04449	CTCF	None	0.983731802	0.9864274423	0.9878542937	0.6184795282	0.6574918937	0.6589745126
AG04450	CTCF	None	0.976416475	0.9803404694	0.9832773112	0.6190081946	0.654670732	0.6667782941
AG09309	CTCF	None	0.982668654	0.9862567977	0.987488322	0.6632647686	0.7027894713	0.7155834297
